id,name,department,salary
1,Jack,Support,51645
2,Frank,Marketing,106910
3,David,Finance,86226
4,David,Engineering,92387
5,Alice,Support,81887
6,Ivy,Support,105775
7,Bob,Finance,82122
8,Eva,Finance,61338
9,Henry,Sales,90390
10,Carol,Operations,117628
11,Grace,Support,89465
12,Bob,Marketing,75511
13,Bob,Finance,66898
14,Jack,Operations,41259
15,Ivy,Finance,107157
16,Ivy,Support,65790
17,Grace,Sales,66276
18,Frank,Sales,95196
19,David,Sales,114551
20,Alice,Sales,102661
21,Frank,Support,75495
22,Henry,IT,92668
23,Bob,HR,61161
24,Bob,Finance,54258
25,David,Marketing,110065
26,Alice,IT,53299
27,Grace,Sales,43881
28,Grace,Support,46351
29,Alice,Finance,56551
30,Henry,Operations,97830
31,Frank,Engineering,75041
32,David,Sales,40787
33,Carol,Operations,117879
34,Frank,Support,50302
35,Grace,Operations,75059
36,Frank,HR,109718
37,Alice,Sales,81368
38,Eva,Support,41657
39,Grace,Marketing,111549
40,Grace,Support,41712
41,Eva,Support,43161
42,Grace,Operations,97556
43,Jack,Support,52530
44,Ivy,Engineering,76323
45,Grace,IT,59105
46,Alice,IT,112945
47,David,Support,78387
48,Henry,Engineering,62070
49,Eva,HR,42235
50,Alice,Marketing,56489
51,Jack,Operations,65836
52,Frank,Support,64212
53,Eva,Marketing,109990
54,Carol,Marketing,110082
55,David,Marketing,112594
56,Jack,Operations,116129
57,Ivy,Support,51054
58,Jack,Engineering,77723
59,Carol,Finance,107402
60,David,Marketing,86069
61,Alice,Finance,47687
62,Henry,Marketing,112464
63,David,Sales,94368
64,Bob,Sales,65270
65,Eva,Engineering,80489
66,Bob,HR,100721
67,Ivy,Engineering,117446
68,Grace,Engineering,57136
69,Alice,HR,46682
70,Alice,Marketing,119547
71,David,Sales,57766
72,Eva,HR,118763
73,Bob,Sales,93780
74,Alice,HR,64909
75,David,Marketing,90286
76,Henry,IT,63220
77,Frank,IT,54316
78,Jack,IT,59410
79,Carol,Support,53156
80,Frank,IT,95524
81,Alice,HR,108757
82,Jack,IT,114423
83,Eva,Engineering,71343
84,Bob,Engineering,89713
85,Jack,Finance,63153
86,Frank,Operations,106218
87,Grace,Support,43961
88,Carol,IT,106362
89,Eva,Operations,119967
90,Ivy,Marketing,82043
91,Eva,Finance,118981
92,Henry,IT,66551
93,Bob,Sales,51661
94,Henry,IT,83667
95,Alice,HR,92656
96,Grace,Support,106129
97,Jack,Engineering,108091
98,Bob,HR,116549
99,Henry,IT,48310
100,Eva,IT,75943
101,Grace,Sales,75602
102,Grace,Support,46796
103,Bob,Operations,118415
104,Jack,Sales,116777
105,Frank,IT,52948
106,Frank,Support,91925
107,Alice,Operations,98084
108,Eva,Engineering,103289
109,Henry,Engineering,51529
110,Ivy,IT,65222
111,Frank,Finance,69056
112,Grace,Sales,81300
113,Grace,Sales,117906
114,Ivy,Finance,66091
115,Alice,Sales,79454
116,Grace,Sales,72752
117,Eva,Operations,42090
118,Eva,Operations,111129
119,Carol,Marketing,109974
120,Grace,Support,104501
121,Jack,Support,77993
122,Grace,Operations,41004
123,Henry,IT,114775
124,David,Support,89546
125,Grace,HR,96676
126,Eva,IT,50654
127,Eva,IT,118381
128,Henry,Engineering,72812
129,Eva,Sales,51883
130,David,Finance,47345
131,Henry,Engineering,77555
132,Carol,Marketing,47862
133,Frank,Engineering,52528
134,Grace,Engineering,94584
135,Eva,Operations,58206
136,Alice,HR,64051
137,Eva,IT,51468
138,Jack,Operations,71835
139,Frank,Engineering,48835
140,Eva,Support,70532
141,Grace,Sales,115800
142,Grace,Engineering,102305
143,Alice,Engineering,64906
144,Eva,HR,114930
145,Henry,Support,114508
146,Alice,Marketing,87455
147,Frank,HR,66173
148,Carol,Marketing,55787
149,Bob,Finance,49878
150,Eva,Support,99409
151,Bob,IT,104982
152,Ivy,Sales,61288
153,Eva,HR,63311
154,Ivy,Finance,83870
155,Frank,IT,98036
156,Alice,HR,117110
157,Henry,HR,100730
158,David,Marketing,91840
159,Carol,Engineering,72550
160,Carol,Marketing,57990
161,Henry,IT,89052
162,Henry,Sales,63308
163,Jack,HR,63176
164,Jack,IT,86461
165,Jack,Support,93650
166,Eva,Finance,82700
167,Eva,Support,105511
168,Henry,Sales,79022
169,Henry,IT,75060
